keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
orchard offers,Orchard Offers,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,orchard.com,,1781700108.1723957,1781700108.1723957,"free home valuation, multiple cash buyer offers",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
uline,Uline,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,uline.com,,1781698927.7410245,1781698927.7410245,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
right touch electrical,Right Touch Electrical,other,store_only,keep_active,low,1,ktrh-am-740,,,1781698489.7163706,1781698489.7163706,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
tennessee lottery,Tennessee Lottery,other,store_only,keep_active,low,1,wwtn-fm-997,,,1781697783.775579,1781697783.775579,June Insta Games with top prizes up to half a million dollars,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
mark spain retail estate,Mark Spain retail estate,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,markspane.com,,1781696885.676803,1781696885.676803,guaranteed home offer estimate,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
risen foundation solutions,Risen Foundation Solutions,nonprofit,store_only,keep_active,low,1,woai-am-1200,risenfoundations.com,8008386767,1781696624.8465443,1781696624.8465443,,company_name + websites,Non-financial (nonprofit). 1 detections. Archived for future offers.
brentwood jewelry,Brentwood Jewelry,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,brentwoodjewelry.com,,1781696010.9631631,1781696010.9631631,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
cb windows home improvement products,CB Windows Home Improvement Products,home_service,store_only,keep_active,low,1,wibc-fm-931,,,1781695623.9192674,1781695623.9192674,50% off all products with no payments for 12 months,company_name + offers,Non-financial (home_service). 1 detections. Archived for future offers.
frasca,Frasca,other,store_only,keep_active,low,1,wsb-am-750,,,1781694428.9788787,1781694428.9788787,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
"big wireless, pure talk","Big Wireless, Pure Talk",unknown_general_review,store_only,keep_active,low,1,klif-am-570,,2506738325,1781694154.8015919,1781694154.8015919,unlimited talk text and data for $70 or $34.99,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
vanguard investor choice,Vanguard Investor Choice,unknown_general_review,store_only,keep_active,low,1,whbo-1040,vanguard.com,,1781692465.7086504,1781692465.7086504,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
united leasing and finance,United Leasing and Finance,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,unitedevv.com,,1781692463.7777894,1781692463.7777894,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
precision audio,Precision Audio,other,store_only,keep_active,low,1,kabc-am-790,,,1781692142.786054,1781692142.786054,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
the good feed store,The Good Feed Store,retail,store_only,keep_active,low,1,wibc-fm-931,goodfeet.com,,1781692039.9967532,1781692039.9967532,"free test fitting, three-step system for foot pain relief",company_name + websites + offers,Non-financial (retail). 1 detections. Archived for future offers.
the texas center for cosmetic dentistry,The Texas Center for Cosmetic Dentistry,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,lovethatsmile.com,2813676453,1781691688.313211,1781691688.313211,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
ramjack,Ramjack,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,google atlanta ramjack,,1781687887.9272716,1781687887.9272716,free estimate,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
healthylooking.com,healthylooking.com,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,healthylooking.com,,1781685374.270599,1781685374.270599,seven-day free trial of stem cell wellness kit,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
progressive cashly insurance company and affiliates,Progressive Cashly Insurance Company and Affiliates,insurance,report_now,keep_active,medium,1,wwtn-fm-997,progressivecommercial.com,,1781682619.1361432,1781682619.1361432,truckers' cargo protection and quote in as little as 8 minutes,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
"cat scale, progressive insurance, the st. christopher truckers fund","CAT scale, Progressive Insurance, The St. Christopher Truckers Fund",insurance,report_now,keep_active,medium,1,whbo-1040,"weighmytruck.com, progressivecommercial.com",,1781682579.5993485,1781682579.5993485,"truck scale accuracy guarantee, cargo insurance quote",company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
"iheartmedia, odoo","iHeartMedia, Odoo",media_internal,store_only,keep_archive,low,1,woai-am-1200,"iheartadvertising.com, odoo.com",,1781681529.5025527,1781681529.5025527,connect marketers to audiences and trusted influencers,company_name + websites + offers,Non-financial (media_internal). 1 detections. Archived for future offers.
"st. christopher truckers relief fund, iowa 80","St. Christopher Truckers Relief Fund, Iowa 80",unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,"truckersfund.org, truckersjamboree.com",,1781679515.573345,1781679515.573345,"free diabetes prevention program, annual truckers jamboree",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"coast one tax group, coast one financial group","Coast One Tax Group, Coast One Financial Group",unknown_financial_review,manual_review,keep_active,low,1,wbap-am-820,,8002423186,1781679283.390633,1781679283.390633,IRS tax debt protection and settlement services,company_name + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
saint christopher truckers fund,Saint Christopher Truckers Fund,nonprofit,store_only,keep_active,low,1,wwtn-fm-997,truckersfund.org,,1781679096.4828575,1781679096.4828575,,company_name + websites,Non-financial (nonprofit). 1 detections. Archived for future offers.
viome,VIOME,health_supplement,store_only,keep_active,low,1,wibc-fm-931,viome.com/hanity,,1781676578.4428449,1781676578.4428449,digestion improvement plan,company_name + websites + offers,Non-financial (health_supplement). 1 detections. Archived for future offers.
c&j water,C&J Water,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,3177448255,1781676246.440542,1781676246.440542,limited-time deal on water softeners,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
healthylooking.com,Healthylooking.com,other,store_only,keep_active,low,1,woai-am-1200,,,1781674579.438997,1781674579.438997,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
wesley financial group,Wesley financial group,unknown_financial_review,manual_review,keep_active,low,1,woai-am-1200,,802522929,1781672223.934759,1781672223.934759,cancel timeshare,company_name + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
coast,COAST,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,coast2coastam.com,,1781672208.1239717,1781672208.1239717,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
debt solutions network,Debt Solutions Network,debt_relief,report_now,keep_active,medium,1,wibc-fm-931,,,1781671881.6154776,1781671881.6154776,60% off for limited time,company_name + offers,Financial vertical: debt_relief. 1 detections across radio.
lean,Lean,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,lean.com,,1781671790.2221818,1781671790.2221818,weight loss program with a discount,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
brickhouse nutrition,BrickHouse Nutrition,health_supplement,store_only,keep_active,low,1,wbap-am-820,joepags.com,,1781671707.2214265,1781671707.2214265,Lean supplement for weight loss,company_name + websites + offers,Non-financial (health_supplement). 1 detections. Archived for future offers.
iheartmedia,iHeartMedia,media_internal,store_only,keep_archive,low,1,woai-am-1200,,844844443278,1781670576.0818172,1781670576.0818172,,company_name,Non-financial (media_internal). 1 detections. Archived for future offers.
hot shot secret,Hot Shot Secret,unknown_general_review,store_only,keep_active,low,1,whbo-1040,hotshotsecret.com,,1781667893.4011748,1781667893.4011748,increase fuel economy up to 7.9%,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
strongtell,Strongtell,saas_b2b,store_only,keep_active,low,1,whbo-1040,strongtell.com,,1781667056.686099,1781667056.686099,"cut phone bills in half, business class phone system",company_name + websites + offers,Non-financial (saas_b2b). 1 detections. Archived for future offers.
rxproliberty.com,rxproliberty.com,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,rxproliberty.com,9497063300,1781667034.2019496,1781667034.2019496,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"patriotic hearts, ziprecruiter","Patriotic Hearts, ZipRecruiter",health_supplement,store_only,keep_active,low,1,whbo-1040,"totalwellness.com, ziprecruiter.com",8002094580,1781666220.5919695,1781666220.5919695,,company_name + websites,Non-financial (health_supplement). 1 detections. Archived for future offers.
heartland steak co.,Heartland Steak Co.,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,heartlandsteakco.com,,1781662573.9909933,1781662573.9909933,Father's Day steak package deal,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
toptaxdefenders,TopTaxDefenders,tax_relief,report_now,keep_active,medium,1,woai-am-1200,toptaxdefenders.com,8005668183,1781659707.7652538,1781659707.7652538,,company_name + websites,Financial vertical: tax_relief. 1 detections across radio.
board capital management,Board Capital Management,unknown_financial_review,manual_review,keep_active,low,1,wibc-fm-931,"knowyourriskpodcast.com, boardcapitalmanagement.com",,1781659055.0789566,1781659055.0789566,free portfolio review,company_name + websites + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
polymarket,PolyMarket,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,polymarket.com,,1781657276.848665,1781657276.848665,prediction market app for soccer trading,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
meals on wheels america,Meals on Wheels America,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,letsladolunch.org,,1781653485.2330456,1781653485.2330456,volunteer for Meals on Wheels,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
oopssteem,OopsSteem,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,oopssteem.com,,1781653458.2530832,1781653458.2530832,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
polymarket,Polymarket,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,axs.com,,1781652859.8745084,1781652859.8745084,limited single night tickets for soccer tournament,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
end family fire and the ad council,End Family Fire and the Ad Council,other,store_only,keep_active,low,1,kabc-am-790,,,1781652468.1377127,1781652468.1377127,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
service experts hvac,Service Experts HVAC,home_service,store_only,keep_active,low,1,wsb-am-750,serviceexperts.com,,1781651143.182921,1781651143.182921,save $90 on an HVAC precision tune up,company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
alliedcustomroofing,AlliedCustomRoofing,home_service,store_only,keep_active,low,1,ktrh-am-740,alliedcustomroofing.com,7139557663,1781648963.9529462,1781648963.9529462,,company_name + websites,Non-financial (home_service). 1 detections. Archived for future offers.
"danny's big big sale, collectors firearms","Danny's Big Big Sale, Collectors Firearms",retail,store_only,keep_active,low,1,ktrh-am-740,collectorsfirearms.com,,1781648877.5318887,1781648877.5318887,15%-20% off guns on Father's Day weekend,company_name + websites + offers,Non-financial (retail). 1 detections. Archived for future offers.
i heart advertising com,I heart advertising com,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,i heart advertising com,,1781646981.0521924,1781646981.0521924,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
low-t center,Low-T Center,insurance,report_now,keep_active,medium,1,wibc-fm-931,fixmylowt.com,,1781646513.8625765,1781646513.8625765,"free testosterone test, health insurance accepted",company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
thomas j. henry injury attorneys,Thomas J. Henry Injury Attorneys,legal_financial,report_now,keep_active,low,1,woai-am-1200,,,1781645503.6656945,1781645503.6656945,,company_name,Financial vertical: legal_financial. 1 detections across radio.
byrna,Byrna,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,burner.com,,1781639542.633031,1781639542.633031,sale on security launchers,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
big look,Big Look,insurance,report_now,keep_active,medium,1,klif-am-570,,,1781634547.4403467,1781634547.4403467,life insurance quotes,company_name + offers,Financial vertical: insurance. 1 detections across radio.
edenpure,EdenPURE,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,edenpuredeals.com,,1781632680.8816135,1781632680.8816135,discounted deodorizing devices,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
term direct,Term Direct,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,85758905075,1781632656.7427473,1781632656.7427473,,company_name,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
eden pure,Eden Pure,other,store_only,keep_active,low,1,wsb-am-750,,,1781632594.2652934,1781632594.2652934,thunderstorm air purifiers with discount code,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
quince,Quince,unknown_general_review,store_only,keep_active,low,1,klif-am-570,quince.com/slash vince,,1781632555.4246466,1781632555.4246466,free shipping and 365 day returns,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
mycomputercareer.edu,MyComputerCareer.edu,jobs_recruiting,store_only,keep_active,low,1,kabc-am-790,mycomputercareer.edu,,1781630961.7786398,1781630961.7786398,career training for IT and cybersecurity,company_name + websites + offers,Non-financial (jobs_recruiting). 1 detections. Archived for future offers.
i heart radio music festival,I Heart Radio Music Festival,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,access.com,,1781629336.5613163,1781629336.5613163,limited single night tickets for music festival,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"stiefel, nicholas & company incorporated","Stiefel, Nicholas & Company Incorporated",unknown_general_review,store_only,keep_active,low,1,woai-am-1200,"stiefel.com, stiefelinsights.com",,1781629077.3535204,1781629077.3535204,find a Stiefel advisor for financial success,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
stiefel nicholas & company incorporated,Stiefel Nicholas & Company Incorporated,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,"stiefel.com, stiefelinsights.com",,1781629074.7762887,1781629074.7762887,find a Stiefel advisor for financial success,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
oak harvest investment services llc,Oak Harvest Investment Services LLC,other,store_only,keep_active,low,1,ktrh-am-740,,,1781627688.8412337,1781627688.8412337,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
"dean and draper insurance, oak harvest financial group","Dean and Draper Insurance, Oak Harvest Financial Group",unknown_financial_review,manual_review,keep_active,low,1,ktrh-am-740,deandraper.com,,1781627602.469696,1781627602.469696,,company_name + websites,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
lend seek,Lend Seek,unknown_general_review,store_only,keep_active,low,1,kabc-am-790,lendseek.com,,1781626930.7774465,1781626930.7774465,AI-powered business funding up to $5 million in 24 hours,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
castile home services,Castile Home Services,home_service,store_only,keep_active,low,1,wsb-am-750,castileair.com/comfort360,,1781624149.0748148,1781624149.0748148,whole home protection membership for HVAC tune-ups and repairs,company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
"finleyroofing.com, castile home services","FinleyRoofing.com, Castile Home Services",home_service,store_only,keep_active,low,1,wsb-am-750,finleyroofing.com,,1781623976.3331807,1781623976.3331807,"roof replacement, windows and doors, 0% financing",company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
super sure insurance agency llc,super sure insurance agency LLC,insurance,report_now,keep_active,medium,1,woai-am-1200,,,1781623369.468551,1781623369.468551,,company_name,Financial vertical: insurance. 1 detections across radio.
window comfort,Window Comfort,home_service,store_only,keep_active,low,1,wsb-am-750,windowcomfort.com,4048858885,1781620084.737574,1781620084.737574,buy two windows get two free with installation and no payments until 2028,company_name + websites + offers,Non-financial (home_service). 1 detections. Archived for future offers.
"stiefel, nickelhausen company, incorporated","Stiefel, Nickelhausen Company, Incorporated",unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,,7134932200,1781617572.5634549,1781617572.5634549,,company_name,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
"rock auto, ledger, cf moto","Rock Auto, Ledger, CF Moto",unknown_general_review,store_only,keep_active,low,1,woai-am-1200,"rockauto.com, ledger.com, cfmotousa.com",,1781617227.6919997,1781617227.6919997,parts and financing for motorcycles,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
contours llc,contours LLC,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,contoursllc.com,6152369960,1781616851.6829867,1781616851.6829867,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
burn and bush landscape and supply,Burn and Bush landscape and supply,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,burningbushsa.com,2109002874,1781614685.6212928,1781614685.6212928,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
lorne michaels real estate partners,Lorne Michaels Real Estate Partners,unknown_general_review,store_only,keep_active,low,1,whbo-1040,,7272988888,1781614148.2337139,1781614148.2337139,free property analysis,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
b window design,B Window Design,home_service,store_only,keep_active,low,1,wibc-fm-931,,,1781613876.394007,1781613876.394007,50% off all products with no payments for 12 months,company_name + offers,Non-financial (home_service). 1 detections. Archived for future offers.
tragen wealth,Tragen Wealth,unknown_financial_review,manual_review,keep_active,low,1,wbap-am-820,trajanwealth.com,8558724361,1781611073.0908463,1781611073.0908463,free consultation for retirement planning,company_name + websites + offers,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
gemelas automotive group,Gemelas Automotive Group,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,gemelas.com,,1781610994.285012,1781610994.285012,easy car buying process with online tools and home delivery options,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
fortify nutrition center / estellas pharma,Fortify Nutrition Center / Estellas Pharma,health_supplement,store_only,keep_active,low,1,whbo-1040,eyesurvey.com,1855393787839,1781610487.3709655,1781610487.3709655,,company_name + websites,Non-financial (health_supplement). 1 detections. Archived for future offers.
roofman,Roofman,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,roofman.com,4707663626,1781609255.3001466,1781609255.3001466,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
lone pronto,Lone Pronto,debt_relief,report_now,keep_active,medium,1,wwtn-fm-997,lonepronto.com,,1781608954.609588,1781608954.609588,Rapid Equity Loan for home improvement and debt consolidation,company_name + websites + offers,Financial vertical: debt_relief. 1 detections across radio.
traján wealth,Traján Wealth,unknown_financial_review,manual_review,keep_active,low,1,ktrh-am-740,trajanwealth.com,8558725261,1781608571.8846984,1781608571.8846984,,company_name + websites,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.
"synergenics, viome","Synergenics, Viome",health_supplement,store_only,keep_active,low,1,woai-am-1200,"fixmylowt.com, viome.com",,1781608312.4393203,1781608312.4393203,"free test, personalized health plan",company_name + websites + offers,Non-financial (health_supplement). 1 detections. Archived for future offers.
seniorhealthservices.com,SeniorHealthServices.com,unknown_general_review,store_only,keep_active,low,1,woai-am-1200,seniorhealthservices.com,2818947540,1781607360.1659508,1781607360.1659508,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
progressive commercial,Progressive Commercial,insurance,report_now,keep_active,medium,1,whbo-1040,progressivecommercial.com,,1781607016.6638026,1781607016.6638026,savings for truckers,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
markspin real estate,Markspin Real Estate,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,markspin.com,,1781606931.1114874,1781606931.1114874,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
epic health care and physical medicine,Epic Health Care and Physical Medicine,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,,4697518262,1781606508.060813,1781606508.060813,free exam and consultation for neuropathy symptoms,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
jim ellis automotive group,Jim Ellis Automotive Group,unknown_general_review,store_only,keep_active,low,1,wsb-am-750,jimellis.com,,1781606158.8345163,1781606158.8345163,convenient car buying process,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
berkeley eye center,Berkeley Eye Center,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,,7135263937,1781605784.6422646,1781605784.6422646,LASIK and lens replacement surgery,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
shell federal credit union,Shell Federal Credit Union,other,store_only,keep_active,low,1,ktrh-am-740,,,1781605611.8390012,1781605611.8390012,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
ragsdale heating air plumbing and electrical,Ragsdale Heating Air Plumbing and Electrical,home_service,store_only,keep_active,low,1,wsb-am-750,,,1781604355.1653523,1781604355.1653523,,company_name,Non-financial (home_service). 1 detections. Archived for future offers.
progressive catholic insurance company and affiliks,Progressive Catholic Insurance Company and Affiliks,insurance,report_now,keep_active,medium,1,kabc-am-790,progressivecommercial.com,,1781603917.164507,1781603917.164507,"save on ELD data sharing, enrollment discount",company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
solar exit hotline,Solar Exit Hotline,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,8007989512,1781602931.8558874,1781602931.8558874,help cancel solar contracts,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
finley roofing,Finley roofing,home_service,store_only,keep_active,low,1,wsb-am-750,,,1781600839.8015213,1781600839.8015213,,company_name,Non-financial (home_service). 1 detections. Archived for future offers.
home title lock,Home Title Lock,unknown_general_review,store_only,keep_active,low,1,whbo-1040,hometitlelock.com,,1781600698.804348,1781600698.804348,free title history report and trial of protection,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
all family pharmacy,All Family Pharmacy,medical_non_financing,store_only,keep_active,low,1,whbo-1040,allfamilypharmacy.com/slash-bill,,1781600615.8037832,1781600615.8037832,10% off prescription medications online,company_name + websites + offers,Non-financial (medical_non_financing). 1 detections. Archived for future offers.
george's try-glp,George's TRY-GLP,unknown_general_review,store_only,keep_active,low,1,klif-am-570,healthylooking.com,8004786465,1781599189.1866372,1781599189.1866372,lose weight and keep muscle,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
texas renters,Texas Renters,unknown_general_review,store_only,keep_active,low,1,ktrh-am-740,texasrenters.com,8185014109,1781597172.6594281,1781597172.6594281,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
red eye radio,Red Eye Radio,unknown_general_review,store_only,keep_active,low,1,whbo-1040,redeyeradioshow.com,86690733393,1781594598.2328925,1781594598.2328925,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
i have t a,i have t a,tax_relief,report_now,keep_active,medium,1,wwtn-fm-997,,,1781594475.4193723,1781594475.4193723,redistributes tax revenue to states based on miles run and fuel prices,company_name + offers,Financial vertical: tax_relief. 1 detections across radio.
st christopher truckers fund,St Christopher Truckers Fund,nonprofit,store_only,keep_active,low,1,kabc-am-790,truckersfund.org,,1781591090.3157964,1781591090.3157964,free diabetes prevention program for truck drivers,company_name + websites + offers,Non-financial (nonprofit). 1 detections. Archived for future offers.
senex fuels and loops,Senex fuels and loops,unknown_general_review,store_only,keep_active,low,1,wbap-am-820,rediradioshow.com,866907334,1781590986.9627664,1781590986.9627664,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
sea crane,Sea Crane,unknown_general_review,store_only,keep_active,low,1,klif-am-570,seacrane.com,18005228863,1781590225.1270301,1781590225.1270301,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
st christopher truckers relief fund,st Christopher truckers relief fund,nonprofit,store_only,keep_active,low,1,kabc-am-790,truckersfund.org,,1781587616.871463,1781587616.871463,free diabetes prevention program,company_name + websites + offers,Non-financial (nonprofit). 1 detections. Archived for future offers.
j.j. keller and associates,J.J. Keller and Associates,unknown_general_review,store_only,keep_active,low,1,wwtn-fm-997,j.j.keller.com,,1781587441.6150677,1781587441.6150677,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
life lock,Life Lock,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,,8005467,1781586983.9462254,1781586983.9462254,30-day free trial,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
100radioshows.com,100radioshows.com,unknown_general_review,store_only,keep_active,low,1,whbo-1040,100radioshows.com,,1781586854.2179742,1781586854.2179742,70% off on old-time radio shows,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
audion hearing,Audion hearing,other,store_only,keep_active,low,1,ktrh-am-740,,,1781585764.5358691,1781585764.5358691,affordable and highest quality hearing aids,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
big wireless,Big Wireless,other,store_only,keep_active,low,1,ktrh-am-740,,,1781584899.9699023,1781584899.9699023,"unlimited talk, text, and data for $70 a month",company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 1 detections. Archived for future offers.
relieffactor,ReliefFactor,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,relieffactor.com,8004734333,1781583793.8746588,1781583793.8746588,3-week quick start for $17.76,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
in family fire and the ad council,In Family Fire and the Ad Council,unknown_general_review,store_only,keep_active,low,1,wibc-fm-931,discovertheforest.org,,1781582369.5533934,1781582369.5533934,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 1 detections. Archived for future offers."
super shore,Super Shore,insurance,report_now,keep_active,medium,1,wsb-am-750,supershore.com,,1781581802.2141058,1781581802.2141058,free insurance policy review,company_name + websites + offers,Financial vertical: insurance. 1 detections across radio.
zellman's,Zellman's,tax_relief,report_now,keep_active,medium,1,woai-am-1200,zellmans.com,,1781581447.5666444,1781581447.5666444,15% off first order with code radio,company_name + websites + offers,Financial vertical: tax_relief. 1 detections across radio.
